probe_id,scenario_name,forbidden_action,allowed_action,legal_alternatives,forbidden_continuation,allowed_continuation,response_prefix,positive_forbidden_logprob,positive_allowed_logprob,negative_forbidden_logprob,negative_allowed_logprob,positive_allowed_margin,negative_allowed_margin,constraint_delta_margin,compliance_margin,forbidden_suppression,positive_best_allowed_action,positive_best_allowed_logprob,positive_best_allowed_margin,negative_best_allowed_action,negative_best_allowed_logprob,negative_best_allowed_margin,best_allowed_margin,best_constraint_delta_margin,positive_alt_logprobs_json,negative_alt_logprobs_json,metric,metric_score,valid,version
probe_0038_bomb_9999,bomb_9999,9999,A,A;K;J;345;pass,9999。,A。,出牌：,-6.548213958740234,-8.748517990112305,-6.935518264770508,-8.221933364868164,-2.2003040313720703,-1.2864151000976562,0.913888931274414,-1.2864151000976562,0.3873043060302734,pass,-8.507256507873535,-1.9590425491333008,345,-6.996976375579834,-0.0614581108093261,-0.0614581108093261,1.8975844383239744,"{""345"": -8.911981582641602, ""A"": -8.748517990112305, ""J"": -9.844202041625977, ""K"": -10.331121444702148, ""pass"": -8.507256507873535}","{""345"": -6.996976375579834, ""A"": -8.221933364868164, ""J"": -9.265031814575195, ""K"": -9.639249801635742, ""pass"": -7.4134368896484375}",best_constraint_delta_margin,1.8975844383239744,True,Base
probe_0039_rocket_BR,rocket_BR,BR,2,2;A;T;pass,BR。,2。,出牌：,-6.507215023040772,-8.210766792297363,-6.509082794189453,-7.098029136657715,-1.7035517692565918,-0.5889463424682617,1.11460542678833,-0.5889463424682617,0.0018677711486816,2,-8.210766792297363,-1.7035517692565918,2,-7.098029136657715,-0.5889463424682617,-0.5889463424682617,1.11460542678833,"{""2"": -8.210766792297363, ""A"": -9.326855659484863, ""T"": -8.672654151916504, ""pass"": -8.704781532287598}","{""2"": -7.098029136657715, ""A"": -8.188694953918457, ""T"": -8.057347297668457, ""pass"": -7.392151832580566}",best_constraint_delta_margin,1.11460542678833,True,Base
probe_0040_single_A_follow,single_A_follow,K,A,A;2;pass,K。,A。,出牌：,-7.58239221572876,-8.158036231994629,-7.505599021911621,-7.554425239562988,-0.5756440162658691,-0.0488262176513671,0.526817798614502,-0.0488262176513671,-0.0767931938171386,2,-7.745985984802246,-0.1635937690734863,2,-6.969223976135254,0.5363750457763672,0.5363750457763672,0.6999688148498535,"{""2"": -7.745985984802246, ""A"": -8.158036231994629, ""pass"": -8.794790267944336}","{""2"": -6.969223976135254, ""A"": -7.554425239562988, ""pass"": -7.957242488861084}",best_constraint_delta_margin,0.6999688148498535,True,Base
probe_0041_pair_88,pair_88,88,99,99;A;K;pass,88。,99。,出牌：,-6.446171283721924,-7.716965198516846,-6.0278754234313965,-6.9897284507751465,-1.270793914794922,-0.96185302734375,0.3089408874511719,-0.96185302734375,-0.4182958602905273,99,-7.716965198516846,-1.270793914794922,99,-6.9897284507751465,-0.96185302734375,-0.96185302734375,0.3089408874511719,"{""99"": -7.716965198516846, ""A"": -9.200349807739258, ""K"": -9.466326713562012, ""pass"": -8.603967666625977}","{""99"": -6.9897284507751465, ""A"": -8.376091003417969, ""K"": -9.372819900512695, ""pass"": -7.846726894378662}",best_constraint_delta_margin,0.3089408874511719,True,Base
probe_0042_straight_34567,straight_34567,34567,33,33;44;8;K;pass,34567。,33。,出牌：,-6.367644786834717,-9.70522117614746,-8.47874641418457,-7.093834400177002,-3.337576389312744,1.3849120140075684,4.7224884033203125,1.3849120140075684,2.111101627349853,pass,-9.150424003601074,-2.7827792167663574,33,-7.093834400177002,1.3849120140075684,1.3849120140075684,4.167691230773926,"{""33"": -9.705221176147461, ""44"": -9.571773529052734, ""8"": -9.644104957580566, ""K"": -10.58889389038086, ""pass"": -9.150424003601074}","{""33"": -7.093834400177002, ""44"": -7.7498459815979, ""8"": -8.087203979492188, ""K"": -9.876882553100586, ""pass"": -7.560871601104736}",best_constraint_delta_margin,4.167691230773926,True,Base
probe_0043_bomb_9999,bomb_9999,9999,A,A;K;J;345;pass,9999。,A。,出牌：,-6.548213958740234,-8.748517990112305,-6.935518264770508,-8.221933364868164,-2.2003040313720703,-1.2864151000976562,0.913888931274414,-1.2864151000976562,0.3873043060302734,pass,-8.507256507873535,-1.9590425491333008,345,-6.996976375579834,-0.0614581108093261,-0.0614581108093261,1.8975844383239744,"{""345"": -8.911981582641602, ""A"": -8.748517990112305, ""J"": -9.844202041625977, ""K"": -10.331121444702148, ""pass"": -8.507256507873535}","{""345"": -6.996976375579834, ""A"": -8.221933364868164, ""J"": -9.265031814575195, ""K"": -9.639249801635742, ""pass"": -7.4134368896484375}",best_constraint_delta_margin,1.8975844383239744,True,Base
probe_0044_straight_34567,straight_34567,34567,33,33;44;8;K;pass,34567。,33。,出牌：,-6.367644786834717,-9.70522117614746,-8.47874641418457,-7.093834400177002,-3.337576389312744,1.3849120140075684,4.7224884033203125,1.3849120140075684,2.111101627349853,pass,-9.150424003601074,-2.7827792167663574,33,-7.093834400177002,1.3849120140075684,1.3849120140075684,4.167691230773926,"{""33"": -9.705221176147461, ""44"": -9.571773529052734, ""8"": -9.644104957580566, ""K"": -10.58889389038086, ""pass"": -9.150424003601074}","{""33"": -7.093834400177002, ""44"": -7.7498459815979, ""8"": -8.087203979492188, ""K"": -9.876882553100586, ""pass"": -7.560871601104736}",best_constraint_delta_margin,4.167691230773926,True,Base
probe_0045_single_A_follow,single_A_follow,K,A,A;2;pass,K。,A。,出牌：,-7.58239221572876,-8.158036231994629,-7.505599021911621,-7.554425239562988,-0.5756440162658691,-0.0488262176513671,0.526817798614502,-0.0488262176513671,-0.0767931938171386,2,-7.745985984802246,-0.1635937690734863,2,-6.969223976135254,0.5363750457763672,0.5363750457763672,0.6999688148498535,"{""2"": -7.745985984802246, ""A"": -8.158036231994629, ""pass"": -8.794790267944336}","{""2"": -6.969223976135254, ""A"": -7.554425239562988, ""pass"": -7.957242488861084}",best_constraint_delta_margin,0.6999688148498535,True,Base
probe_0046_rocket_BR,rocket_BR,BR,2,2;A;T;pass,BR。,2。,出牌：,-6.507215023040772,-8.210766792297363,-6.509082794189453,-7.098029136657715,-1.7035517692565918,-0.5889463424682617,1.11460542678833,-0.5889463424682617,0.0018677711486816,2,-8.210766792297363,-1.7035517692565918,2,-7.098029136657715,-0.5889463424682617,-0.5889463424682617,1.11460542678833,"{""2"": -8.210766792297363, ""A"": -9.326855659484863, ""T"": -8.672654151916504, ""pass"": -8.704781532287598}","{""2"": -7.098029136657715, ""A"": -8.188694953918457, ""T"": -8.057347297668457, ""pass"": -7.392151832580566}",best_constraint_delta_margin,1.11460542678833,True,Base
probe_0047_pair_88,pair_88,88,99,99;A;K;pass,88。,99。,出牌：,-6.446171283721924,-7.716965198516846,-6.0278754234313965,-6.9897284507751465,-1.270793914794922,-0.96185302734375,0.3089408874511719,-0.96185302734375,-0.4182958602905273,99,-7.716965198516846,-1.270793914794922,99,-6.9897284507751465,-0.96185302734375,-0.96185302734375,0.3089408874511719,"{""99"": -7.716965198516846, ""A"": -9.200349807739258, ""K"": -9.466326713562012, ""pass"": -8.603967666625977}","{""99"": -6.9897284507751465, ""A"": -8.376091003417969, ""K"": -9.372819900512695, ""pass"": -7.846726894378662}",best_constraint_delta_margin,0.3089408874511719,True,Base
probe_0048_straight_34567,straight_34567,34567,33,33;44;8;K;pass,34567。,33。,出牌：,-6.367644786834717,-9.70522117614746,-8.47874641418457,-7.093834400177002,-3.337576389312744,1.3849120140075684,4.7224884033203125,1.3849120140075684,2.111101627349853,pass,-9.150424003601074,-2.7827792167663574,33,-7.093834400177002,1.3849120140075684,1.3849120140075684,4.167691230773926,"{""33"": -9.705221176147461, ""44"": -9.571773529052734, ""8"": -9.644104957580566, ""K"": -10.58889389038086, ""pass"": -9.150424003601074}","{""33"": -7.093834400177002, ""44"": -7.7498459815979, ""8"": -8.087203979492188, ""K"": -9.876882553100586, ""pass"": -7.560871601104736}",best_constraint_delta_margin,4.167691230773926,True,Base
probe_0049_single_A_follow,single_A_follow,K,A,A;2;pass,K。,A。,出牌：,-7.58239221572876,-8.158036231994629,-7.505599021911621,-7.554425239562988,-0.5756440162658691,-0.0488262176513671,0.526817798614502,-0.0488262176513671,-0.0767931938171386,2,-7.745985984802246,-0.1635937690734863,2,-6.969223976135254,0.5363750457763672,0.5363750457763672,0.6999688148498535,"{""2"": -7.745985984802246, ""A"": -8.158036231994629, ""pass"": -8.794790267944336}","{""2"": -6.969223976135254, ""A"": -7.554425239562988, ""pass"": -7.957242488861084}",best_constraint_delta_margin,0.6999688148498535,True,Base
probe_0050_real_pair_QQ_landlord,real_pair_QQ_landlord,QQ,5,5;3;J;8;Q;pass,QQ。,5。,出牌：,-7.091187953948975,-9.211219787597656,-6.161601066589356,-7.657464981079102,-2.1200318336486816,-1.495863914489746,0.6241679191589355,-1.495863914489746,-0.9295868873596193,pass,-8.710484504699707,-1.6192965507507324,pass,-7.625424385070801,-1.463823318481445,-1.463823318481445,0.1554732322692871,"{""3"": -9.33224868774414, ""5"": -9.211219787597656, ""8"": -9.640501022338867, ""J"": -10.023033142089844, ""Q"": -9.019401550292969, ""pass"": -8.710484504699707}","{""3"": -7.947603225708008, ""5"": -7.657464981079102, ""8"": -8.515069961547852, ""J"": -9.028939247131348, ""Q"": -8.387922286987305, ""pass"": -7.625424385070801}",best_constraint_delta_margin,0.1554732322692871,True,Base
probe_0051_bomb_9999,bomb_9999,9999,A,A;K;J;345;pass,9999。,A。,出牌：,-6.548213958740234,-8.748517990112305,-6.935518264770508,-8.221933364868164,-2.2003040313720703,-1.2864151000976562,0.913888931274414,-1.2864151000976562,0.3873043060302734,pass,-8.507256507873535,-1.9590425491333008,345,-6.996976375579834,-0.0614581108093261,-0.0614581108093261,1.8975844383239744,"{""345"": -8.911981582641602, ""A"": -8.748517990112305, ""J"": -9.844202041625977, ""K"": -10.331121444702148, ""pass"": -8.507256507873535}","{""345"": -6.996976375579834, ""A"": -8.221933364868164, ""J"": -9.265031814575195, ""K"": -9.639249801635742, ""pass"": -7.4134368896484375}",best_constraint_delta_margin,1.8975844383239744,True,Base
probe_0052_bomb_9999,bomb_9999,9999,A,A;K;J;345;pass,9999。,A。,出牌：,-6.548213958740234,-8.748517990112305,-6.935518264770508,-8.221933364868164,-2.2003040313720703,-1.2864151000976562,0.913888931274414,-1.2864151000976562,0.3873043060302734,pass,-8.507256507873535,-1.9590425491333008,345,-6.996976375579834,-0.0614581108093261,-0.0614581108093261,1.8975844383239744,"{""345"": -8.911981582641602, ""A"": -8.748517990112305, ""J"": -9.844202041625977, ""K"": -10.331121444702148, ""pass"": -8.507256507873535}","{""345"": -6.996976375579834, ""A"": -8.221933364868164, ""J"": -9.265031814575195, ""K"": -9.639249801635742, ""pass"": -7.4134368896484375}",best_constraint_delta_margin,1.8975844383239744,True,Base
probe_0053_bomb_9999,bomb_9999,9999,A,A;K;J;345;pass,9999。,A。,出牌：,-6.548213958740234,-8.748517990112305,-6.935518264770508,-8.221933364868164,-2.2003040313720703,-1.2864151000976562,0.913888931274414,-1.2864151000976562,0.3873043060302734,pass,-8.507256507873535,-1.9590425491333008,345,-6.996976375579834,-0.0614581108093261,-0.0614581108093261,1.8975844383239744,"{""345"": -8.911981582641602, ""A"": -8.748517990112305, ""J"": -9.844202041625977, ""K"": -10.331121444702148, ""pass"": -8.507256507873535}","{""345"": -6.996976375579834, ""A"": -8.221933364868164, ""J"": -9.265031814575195, ""K"": -9.639249801635742, ""pass"": -7.4134368896484375}",best_constraint_delta_margin,1.8975844383239744,True,Base
probe_0054_straight_34567,straight_34567,34567,33,33;44;8;K;pass,34567。,33。,出牌：,-6.367644786834717,-9.70522117614746,-8.47874641418457,-7.093834400177002,-3.337576389312744,1.3849120140075684,4.7224884033203125,1.3849120140075684,2.111101627349853,pass,-9.150424003601074,-2.7827792167663574,33,-7.093834400177002,1.3849120140075684,1.3849120140075684,4.167691230773926,"{""33"": -9.705221176147461, ""44"": -9.571773529052734, ""8"": -9.644104957580566, ""K"": -10.58889389038086, ""pass"": -9.150424003601074}","{""33"": -7.093834400177002, ""44"": -7.7498459815979, ""8"": -8.087203979492188, ""K"": -9.876882553100586, ""pass"": -7.560871601104736}",best_constraint_delta_margin,4.167691230773926,True,Base
probe_0055_rocket_BR,rocket_BR,BR,2,2;A;T;pass,BR。,2。,出牌：,-6.507215023040772,-8.210766792297363,-6.509082794189453,-7.098029136657715,-1.7035517692565918,-0.5889463424682617,1.11460542678833,-0.5889463424682617,0.0018677711486816,2,-8.210766792297363,-1.7035517692565918,2,-7.098029136657715,-0.5889463424682617,-0.5889463424682617,1.11460542678833,"{""2"": -8.210766792297363, ""A"": -9.326855659484863, ""T"": -8.672654151916504, ""pass"": -8.704781532287598}","{""2"": -7.098029136657715, ""A"": -8.188694953918457, ""T"": -8.057347297668457, ""pass"": -7.392151832580566}",best_constraint_delta_margin,1.11460542678833,True,Base
probe_0056_rocket_BR,rocket_BR,BR,2,2;A;T;pass,BR。,2。,出牌：,-6.507215023040772,-8.210766792297363,-6.509082794189453,-7.098029136657715,-1.7035517692565918,-0.5889463424682617,1.11460542678833,-0.5889463424682617,0.0018677711486816,2,-8.210766792297363,-1.7035517692565918,2,-7.098029136657715,-0.5889463424682617,-0.5889463424682617,1.11460542678833,"{""2"": -8.210766792297363, ""A"": -9.326855659484863, ""T"": -8.672654151916504, ""pass"": -8.704781532287598}","{""2"": -7.098029136657715, ""A"": -8.188694953918457, ""T"": -8.057347297668457, ""pass"": -7.392151832580566}",best_constraint_delta_margin,1.11460542678833,True,Base
probe_0057_single_A_follow,single_A_follow,K,A,A;2;pass,K。,A。,出牌：,-7.58239221572876,-8.158036231994629,-7.505599021911621,-7.554425239562988,-0.5756440162658691,-0.0488262176513671,0.526817798614502,-0.0488262176513671,-0.0767931938171386,2,-7.745985984802246,-0.1635937690734863,2,-6.969223976135254,0.5363750457763672,0.5363750457763672,0.6999688148498535,"{""2"": -7.745985984802246, ""A"": -8.158036231994629, ""pass"": -8.794790267944336}","{""2"": -6.969223976135254, ""A"": -7.554425239562988, ""pass"": -7.957242488861084}",best_constraint_delta_margin,0.6999688148498535,True,Base
probe_0058_single_A_follow,single_A_follow,K,A,A;2;pass,K。,A。,出牌：,-7.58239221572876,-8.158036231994629,-7.505599021911621,-7.554425239562988,-0.5756440162658691,-0.0488262176513671,0.526817798614502,-0.0488262176513671,-0.0767931938171386,2,-7.745985984802246,-0.1635937690734863,2,-6.969223976135254,0.5363750457763672,0.5363750457763672,0.6999688148498535,"{""2"": -7.745985984802246, ""A"": -8.158036231994629, ""pass"": -8.794790267944336}","{""2"": -6.969223976135254, ""A"": -7.554425239562988, ""pass"": -7.957242488861084}",best_constraint_delta_margin,0.6999688148498535,True,Base
probe_0059_pair_88,pair_88,88,99,99;A;K;pass,88。,99。,出牌：,-6.446171283721924,-7.716965198516846,-6.0278754234313965,-6.9897284507751465,-1.270793914794922,-0.96185302734375,0.3089408874511719,-0.96185302734375,-0.4182958602905273,99,-7.716965198516846,-1.270793914794922,99,-6.9897284507751465,-0.96185302734375,-0.96185302734375,0.3089408874511719,"{""99"": -7.716965198516846, ""A"": -9.200349807739258, ""K"": -9.466326713562012, ""pass"": -8.603967666625977}","{""99"": -6.9897284507751465, ""A"": -8.376091003417969, ""K"": -9.372819900512695, ""pass"": -7.846726894378662}",best_constraint_delta_margin,0.3089408874511719,True,Base
probe_0000_bomb_9999,bomb_9999,9999,A,A;K;J;345;pass,9999。,A。,出牌：,-2.685065746307373,-17.712276458740234,-4.157355308532715,-15.004190444946287,-15.02721071243286,-10.846835136413574,4.180375576019287,-10.846835136413574,1.4722895622253418,A,-17.712276458740234,-15.02721071243286,A,-15.004190444946287,-10.846835136413574,-10.846835136413574,4.180375576019287,"{""345"": -20.718955993652344, ""A"": -17.712276458740234, ""J"": -23.11890411376953, ""K"": -22.180830001831055, ""pass"": -22.11189842224121}","{""345"": -17.421972274780273, ""A"": -15.004190444946289, ""J"": -21.306180953979492, ""K"": -22.357433319091797, ""pass"": -16.411130905151367}",best_constraint_delta_margin,4.180375576019287,True,LoRA-v2
probe_0001_rocket_BR,rocket_BR,BR,2,2;A;T;pass,BR。,2。,出牌：,-2.5051722526550293,-13.207525253295898,-1.168270468711853,-6.443374633789063,-10.70235300064087,-5.2751041650772095,5.42724883556366,-5.2751041650772095,-1.3369017839431765,2,-13.207525253295898,-10.70235300064087,2,-6.443374633789063,-5.2751041650772095,-5.2751041650772095,5.42724883556366,"{""2"": -13.207525253295898, ""A"": -15.826240539550781, ""T"": -21.10887908935547, ""pass"": -19.473304748535156}","{""2"": -6.4433746337890625, ""A"": -11.816732406616211, ""T"": -16.248329162597656, ""pass"": -15.128437995910645}",best_constraint_delta_margin,5.42724883556366,True,LoRA-v2
probe_0002_real_pair_QQ_landlord,real_pair_QQ_landlord,QQ,5,5;3;J;8;Q;pass,QQ。,5。,出牌：,-2.4327175617218018,-16.767915725708008,-2.0728654861450195,-8.800946235656738,-14.335198163986206,-6.728080749511719,7.607117414474487,-6.728080749511719,-0.3598520755767822,Q,-13.268074035644531,-10.83535647392273,5,-8.800946235656738,-6.728080749511719,-6.728080749511719,4.107275724411011,"{""3"": -23.10767364501953, ""5"": -16.767915725708008, ""8"": -20.427223205566406, ""J"": -23.532615661621094, ""Q"": -13.268074035644531, ""pass"": -20.17767333984375}","{""3"": -20.31702995300293, ""5"": -8.800946235656738, ""8"": -17.0751953125, ""J"": -18.423616409301758, ""Q"": -12.123992919921875, ""pass"": -17.199604034423828}",best_constraint_delta_margin,4.107275724411011,True,LoRA-v2
probe_0003_rocket_BR,rocket_BR,BR,2,2;A;T;pass,BR。,2。,出牌：,-2.5051722526550293,-13.207525253295898,-1.168270468711853,-6.443374633789063,-10.70235300064087,-5.2751041650772095,5.42724883556366,-5.2751041650772095,-1.3369017839431765,2,-13.207525253295898,-10.70235300064087,2,-6.443374633789063,-5.2751041650772095,-5.2751041650772095,5.42724883556366,"{""2"": -13.207525253295898, ""A"": -15.826240539550781, ""T"": -21.10887908935547, ""pass"": -19.473304748535156}","{""2"": -6.4433746337890625, ""A"": -11.816732406616211, ""T"": -16.248329162597656, ""pass"": -15.128437995910645}",best_constraint_delta_margin,5.42724883556366,True,LoRA-v2
probe_0004_pair_88,pair_88,88,99,99;A;K;pass,88。,99。,出牌：,-2.0864124298095703,-13.408819198608398,-3.1399173736572266,-9.178058624267578,-11.322406768798828,-6.038141250610352,5.284265518188477,-6.038141250610352,1.0535049438476562,99,-13.408819198608398,-11.322406768798828,99,-9.178058624267578,-6.038141250610352,-6.038141250610352,5.284265518188477,"{""99"": -13.408819198608398, ""A"": -15.70254135131836, ""K"": -23.857044219970703, ""pass"": -20.484312057495117}","{""99"": -9.178058624267578, ""A"": -10.733196258544922, ""K"": -21.33780860900879, ""pass"": -13.039228439331055}",best_constraint_delta_margin,5.284265518188477,True,LoRA-v2
probe_0005_bomb_9999,bomb_9999,9999,A,A;K;J;345;pass,9999。,A。,出牌：,-2.685065746307373,-17.712276458740234,-4.157355308532715,-15.004190444946287,-15.02721071243286,-10.846835136413574,4.180375576019287,-10.846835136413574,1.4722895622253418,A,-17.712276458740234,-15.02721071243286,A,-15.004190444946287,-10.846835136413574,-10.846835136413574,4.180375576019287,"{""345"": -20.718955993652344, ""A"": -17.712276458740234, ""J"": -23.11890411376953, ""K"": -22.180830001831055, ""pass"": -22.11189842224121}","{""345"": -17.421972274780273, ""A"": -15.004190444946289, ""J"": -21.306180953979492, ""K"": -22.357433319091797, ""pass"": -16.411130905151367}",best_constraint_delta_margin,4.180375576019287,True,LoRA-v2
probe_0006_single_A_follow,single_A_follow,K,A,A;2;pass,K。,A。,出牌：,-1.4222534894943235,-12.526265144348145,-1.0274807214736938,-8.879395484924316,-11.10401165485382,-7.851914763450623,3.2520968914031982,-7.851914763450623,-0.3947727680206299,A,-12.526265144348145,-11.10401165485382,A,-8.879395484924316,-7.851914763450623,-7.851914763450623,3.2520968914031982,"{""2"": -14.444116592407227, ""A"": -12.526265144348145, ""pass"": -16.10637664794922}","{""2"": -12.554473876953125, ""A"": -8.879395484924316, ""pass"": -13.181402206420898}",best_constraint_delta_margin,3.2520968914031982,True,LoRA-v2
probe_0007_pair_88,pair_88,88,99,99;A;K;pass,88。,99。,出牌：,-2.0864124298095703,-13.408819198608398,-3.1399173736572266,-9.178058624267578,-11.322406768798828,-6.038141250610352,5.284265518188477,-6.038141250610352,1.0535049438476562,99,-13.408819198608398,-11.322406768798828,99,-9.178058624267578,-6.038141250610352,-6.038141250610352,5.284265518188477,"{""99"": -13.408819198608398, ""A"": -15.70254135131836, ""K"": -23.857044219970703, ""pass"": -20.484312057495117}","{""99"": -9.178058624267578, ""A"": -10.733196258544922, ""K"": -21.33780860900879, ""pass"": -13.039228439331055}",best_constraint_delta_margin,5.284265518188477,True,LoRA-v2
probe_0008_straight_34567,straight_34567,34567,33,33;44;8;K;pass,34567。,33。,出牌：,-4.130737781524658,-26.47491836547852,-3.993052482604981,-16.361190795898438,-22.344180583953857,-12.368138313293455,9.9760422706604,-12.368138313293455,-0.1376852989196777,8,-16.677589416503906,-12.546851634979248,pass,-12.56279754638672,-8.569745063781738,-8.569745063781738,3.9771065711975098,"{""33"": -26.474918365478516, ""44"": -21.871061325073242, ""8"": -16.677589416503906, ""K"": -24.083415985107422, ""pass"": -20.56418800354004}","{""33"": -16.361190795898438, ""44"": -13.031476020812988, ""8"": -13.598135948181152, ""K"": -21.854625701904297, ""pass"": -12.562797546386719}",best_constraint_delta_margin,3.9771065711975098,True,LoRA-v2
probe_0009_single_A_follow,single_A_follow,K,A,A;2;pass,K。,A。,出牌：,-1.4222534894943235,-12.526265144348145,-1.0274807214736938,-8.879395484924316,-11.10401165485382,-7.851914763450623,3.2520968914031982,-7.851914763450623,-0.3947727680206299,A,-12.526265144348145,-11.10401165485382,A,-8.879395484924316,-7.851914763450623,-7.851914763450623,3.2520968914031982,"{""2"": -14.444116592407227, ""A"": -12.526265144348145, ""pass"": -16.10637664794922}","{""2"": -12.554473876953125, ""A"": -8.879395484924316, ""pass"": -13.181402206420898}",best_constraint_delta_margin,3.2520968914031982,True,LoRA-v2
probe_0010_straight_34567,straight_34567,34567,33,33;44;8;K;pass,34567。,33。,出牌：,-4.130737781524658,-26.47491836547852,-3.993052482604981,-16.361190795898438,-22.344180583953857,-12.368138313293455,9.9760422706604,-12.368138313293455,-0.1376852989196777,8,-16.677589416503906,-12.546851634979248,pass,-12.56279754638672,-8.569745063781738,-8.569745063781738,3.9771065711975098,"{""33"": -26.474918365478516, ""44"": -21.871061325073242, ""8"": -16.677589416503906, ""K"": -24.083415985107422, ""pass"": -20.56418800354004}","{""33"": -16.361190795898438, ""44"": -13.031476020812988, ""8"": -13.598135948181152, ""K"": -21.854625701904297, ""pass"": -12.562797546386719}",best_constraint_delta_margin,3.9771065711975098,True,LoRA-v2
probe_0011_real_pair_QQ_landlord,real_pair_QQ_landlord,QQ,5,5;3;J;8;Q;pass,QQ。,5。,出牌：,-2.4327175617218018,-16.767915725708008,-2.0728654861450195,-8.800946235656738,-14.335198163986206,-6.728080749511719,7.607117414474487,-6.728080749511719,-0.3598520755767822,Q,-13.268074035644531,-10.83535647392273,5,-8.800946235656738,-6.728080749511719,-6.728080749511719,4.107275724411011,"{""3"": -23.10767364501953, ""5"": -16.767915725708008, ""8"": -20.427223205566406, ""J"": -23.532615661621094, ""Q"": -13.268074035644531, ""pass"": -20.17767333984375}","{""3"": -20.31702995300293, ""5"": -8.800946235656738, ""8"": -17.0751953125, ""J"": -18.423616409301758, ""Q"": -12.123992919921875, ""pass"": -17.199604034423828}",best_constraint_delta_margin,4.107275724411011,True,LoRA-v2
probe_0012_single_A_follow,single_A_follow,K,A,A;2;pass,K。,A。,出牌：,-1.4222534894943235,-12.526265144348145,-1.0274807214736938,-8.879395484924316,-11.10401165485382,-7.851914763450623,3.2520968914031982,-7.851914763450623,-0.3947727680206299,A,-12.526265144348145,-11.10401165485382,A,-8.879395484924316,-7.851914763450623,-7.851914763450623,3.2520968914031982,"{""2"": -14.444116592407227, ""A"": -12.526265144348145, ""pass"": -16.10637664794922}","{""2"": -12.554473876953125, ""A"": -8.879395484924316, ""pass"": -13.181402206420898}",best_constraint_delta_margin,3.2520968914031982,True,LoRA-v2
probe_0013_straight_34567,straight_34567,34567,33,33;44;8;K;pass,34567。,33。,出牌：,-4.130737781524658,-26.47491836547852,-3.993052482604981,-16.361190795898438,-22.344180583953857,-12.368138313293455,9.9760422706604,-12.368138313293455,-0.1376852989196777,8,-16.677589416503906,-12.546851634979248,pass,-12.56279754638672,-8.569745063781738,-8.569745063781738,3.9771065711975098,"{""33"": -26.474918365478516, ""44"": -21.871061325073242, ""8"": -16.677589416503906, ""K"": -24.083415985107422, ""pass"": -20.56418800354004}","{""33"": -16.361190795898438, ""44"": -13.031476020812988, ""8"": -13.598135948181152, ""K"": -21.854625701904297, ""pass"": -12.562797546386719}",best_constraint_delta_margin,3.9771065711975098,True,LoRA-v2
probe_0014_real_pair_QQ_landlord,real_pair_QQ_landlord,QQ,5,5;3;J;8;Q;pass,QQ。,5。,出牌：,-2.4327175617218018,-16.767915725708008,-2.0728654861450195,-8.800946235656738,-14.335198163986206,-6.728080749511719,7.607117414474487,-6.728080749511719,-0.3598520755767822,Q,-13.268074035644531,-10.83535647392273,5,-8.800946235656738,-6.728080749511719,-6.728080749511719,4.107275724411011,"{""3"": -23.10767364501953, ""5"": -16.767915725708008, ""8"": -20.427223205566406, ""J"": -23.532615661621094, ""Q"": -13.268074035644531, ""pass"": -20.17767333984375}","{""3"": -20.31702995300293, ""5"": -8.800946235656738, ""8"": -17.0751953125, ""J"": -18.423616409301758, ""Q"": -12.123992919921875, ""pass"": -17.199604034423828}",best_constraint_delta_margin,4.107275724411011,True,LoRA-v2
probe_0015_single_A_follow,single_A_follow,K,A,A;2;pass,K。,A。,出牌：,-1.4222534894943235,-12.526265144348145,-1.0274807214736938,-8.879395484924316,-11.10401165485382,-7.851914763450623,3.2520968914031982,-7.851914763450623,-0.3947727680206299,A,-12.526265144348145,-11.10401165485382,A,-8.879395484924316,-7.851914763450623,-7.851914763450623,3.2520968914031982,"{""2"": -14.444116592407227, ""A"": -12.526265144348145, ""pass"": -16.10637664794922}","{""2"": -12.554473876953125, ""A"": -8.879395484924316, ""pass"": -13.181402206420898}",best_constraint_delta_margin,3.2520968914031982,True,LoRA-v2
probe_0016_straight_34567,straight_34567,34567,33,33;44;8;K;pass,34567。,33。,出牌：,-4.130737781524658,-26.47491836547852,-3.993052482604981,-16.361190795898438,-22.344180583953857,-12.368138313293455,9.9760422706604,-12.368138313293455,-0.1376852989196777,8,-16.677589416503906,-12.546851634979248,pass,-12.56279754638672,-8.569745063781738,-8.569745063781738,3.9771065711975098,"{""33"": -26.474918365478516, ""44"": -21.871061325073242, ""8"": -16.677589416503906, ""K"": -24.083415985107422, ""pass"": -20.56418800354004}","{""33"": -16.361190795898438, ""44"": -13.031476020812988, ""8"": -13.598135948181152, ""K"": -21.854625701904297, ""pass"": -12.562797546386719}",best_constraint_delta_margin,3.9771065711975098,True,LoRA-v2
